;0;1;2;3;4;5
445;Acorda Therapeutics, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00484M106&m=1061662&c=5646452;ACOR;08/06/2016;Annual;USA
446;Acorda Therapeutics, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00484M106&m=1142280&c=5646452;ACOR;31/05/2017;Annual;USA
447;Acorda Therapeutics, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00484M106&m=1235107&c=5646452;ACOR;27/06/2018;Annual;USA
448;Acron JSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X00311104&m=869058&c=355082;AKRN;29/05/2014;Annual;Russia
449;Acron JSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X00311104&m=909732&c=355082;AKRN;16/09/2014;Special;Russia
450;Acron JSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=935553&c=5643915;AKRN;24/02/2015;Special;Russia
451;Acron JSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=955020&c=5643915;AKRN;21/05/2015;Annual;Russia
452;Acron JSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1043689&c=5643915;AKRN;26/05/2016;Annual;Russia
453;Acron PJSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1082261&c=5643915;AKRN;09/09/2016;Special;Russia
454;Acron PJSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1150943&c=5643915;AKRN;22/06/2017;Annual;Russia
455;Acron PJSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1167093&c=5643915;AKRN;08/09/2017;Special;Russia
456;Acron PJSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1190484&c=5643937;AKRN;12/01/2018;Special;Russia
457;Acron PJSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1232073&c=5643937;AKRN;31/05/2018;Annual;Russia
458;Acron PJSC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=RU0009028674&m=1267933&c=5643915;AKRN;19/10/2018;Special;Russia
459;Acrux Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=Q0093N109&m=834693&c=355082;ACR;21/11/2013;Annual;Australia
460;Acrux Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACR3&m=925884&c=5643955;ACR;27/11/2014;Annual;Australia
461;Acrux Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACR3&m=934764&c=5643915;ACR;03/02/2015;Special;Australia
462;Acrux Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACR3&m=1008274&c=5643915;ACR;17/11/2015;Annual;Australia
463;Acrux Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACR3&m=1093730&c=5643915;ACR;10/11/2016;Annual;Australia
464;Acrux Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACR3&m=1175905&c=5643915;ACR;26/10/2017;Annual;Australia
465;Acs, Actividades de Construccion y Servicios S.A;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=E7813W163&m=869078&c=355082;ACS;28/05/2014;Annual;Spain
466;Acs, Actividades de Construccion y Servicios S.A;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0167050915&m=956200&c=5643915;ACS;27/04/2015;Annual;Spain
467;Acs, Actividades de Construccion y Servicios S.A;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0167050915&m=1040179&c=5643915;ACS;04/05/2016;Annual;Spain
468;Acs, Actividades de Construccion y Servicios S.A;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0167050915&m=1127364&c=5643915;ACS;03/05/2017;Annual;Spain
469;Acs, Actividades de Construccion y Servicios S.A;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0167050915&m=1214980&c=5643915;ACS;07/05/2018;Annual;Spain
470;Actavis plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=G0083B108&m=869150&c=355082;ACT;09/05/2014;Annual;USA
471;Actavis plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=G0083B108&m=885466&c=355082;ACT;17/06/2014;Special;USA
472;Actavis plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=G0083B108&m=939886&c=5646462;ACT;10/03/2015;Special;Ireland
473;Actavis plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=G0083B108&m=971406&c=5646452;ACT;05/06/2015;Annual;Ireland
474;Actavis, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00507K103&m=821860&c=355082;ACT;10/09/2013;Special;USA
475;Actelion Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=H0032X135&m=848145&c=355082;ATLN;08/05/2014;Annual;Switzerland
476;Actelion Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=CH0010532478&m=942938&c=5643915;ATLN;08/05/2015;Annual;Switzerland
477;Actelion Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=CH0010532478&m=1027194&c=5643915;ATLN;04/05/2016;Annual;Switzerland
478;Actelion Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=CH0010532478&m=1115561&c=5643915;ATLN;05/04/2017;Annual;Switzerland
479;Actia Group;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=FR0000076655&m=1232513&c=5983485;ATI;30/05/2018;Annual/Special;France
480;Action Hotels plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ADPV25299&m=873660&c=5571158;AHCG;29/05/2014;Annual;Jersey
481;Action Hotels plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ADPV25299&m=910895&c=5571158;AHCG;15/09/2014;Special;Jersey
482;Action Hotels plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=976757&c=5643943;AHCG;28/05/2015;Annual;Jersey
483;Action Hotels plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=1054727&c=5643943;AHCG;18/05/2016;Annual;Jersey
